Titik	Latitude	Longitude	Keterangan	Waktu1	Waktu2	Waktu3	F1	F2	F3
M.21	9225280	672667	-	2022-04-23 07:48:39	2022-04-23 07:48:49	2022-04-23 07:49:01	45057.56	45058.46	45057.08
M.22	9225270	672674	-	2022-04-23 07:46:59	2022-04-23 07:47:01	2022-04-23 07:47:11	45341.02	45341.7	45340.09
M.23	9225260	672681	-	2022-04-23 07:45:37	2022-04-23 07:45:47	2022-04-23 07:45:57	45464.33	45462.23	45462.01
M.24	9225260	672688	-	2022-04-23 07:44:12	2022-04-23 07:44:22	2022-04-23 07:44:32	45367.95	45368.46	45364.82
M.25	9225250	672695	-	2022-04-23 07:42:25	2022-04-23 07:42:35	2022-04-23 07:42:45	45306.33	45307.31	45306.13
M.26	9225240	672702	-	2022-04-23 07:40:53	2022-04-23 07:41:03	2022-04-23 07:41:13	45282.89	45281.56	45281.53
M.27	9225230	672709	-	2022-04-23 07:39:19	2022-04-23 07:39:29	2022-04-23 07:39:40	45280.24	45280.85	45279.52
M.28	9225230	672716	-	2022-04-23 07:38:01	2022-04-23 07:38:11	2022-04-23 07:38:21	45295.8	45295	45294.38
M.29	9225220	672723	-	2022-04-23 07:36:41	2022-04-23 07:36:51	2022-04-23 07:37:01	45319.52	45319.53	45319.9
M.30	9225210	672730	-	2022-04-23 07:35:15	2022-04-23 07:35:25	2022-04-23 07:35:35	45342.04	45341.99	45342.85
N.01	9225410	672519	-	2022-04-23 08:22:16	2022-04-23 08:22:26	2022-04-23 08:22:36	45208.71	45207.15	
N.02	9225400	672526	-	2022-04-23 08:23:53	2022-04-23 08:24:03	2022-04-23 08:24:13		44975.64	44973.27
N.03	9225400	672533	-	2022-04-23 08:25:22	2022-04-23 08:25:32	2022-04-23 08:25:42	44828.19	44826.48	44827.25
N.09	9225360	672575	-	2022-04-23 08:29:49	2022-04-23 08:30:01	2022-04-23 08:30:11	45244.11	45245.21	45243.43
N.10	9225350	672582	-	2022-04-23 08:32:12	2022-04-23 08:32:22	2022-04-23 08:32:32		45140.82	45140.52
